Name,,Sample,Expression
ENSG00000143514.17,,GTEX.14PHY.0526.SM.664NM,18.5014
ENSG00000143514.17,,GTEX.14PJ4.0626.SM.6AJBS,49.3472
ENSG00000143514.17,,GTEX.14PJ5.0226.SM.5YY99,38.0331
ENSG00000143514.17,,GTEX.14PJM.0926.SM.6AJ9Y,50.3516
ENSG00000143514.17,,GTEX.14PJO.0926.SM.686YT,26.7292
ENSG00000143514.17,,GTEX.14PK6.5003.SM.HTQ8I,28.9264
ENSG00000143514.17,,GTEX.14PKU.0726.SM.HAUZY,42.2603
ENSG00000143514.17,,GTEX.14PN3.0926.SM.H6Q6A,36.5929
ENSG00000143514.17,,GTEX.14PQA.1126.SM.7KUM4,23.6079
ENSG00000143514.17,,GTEX.14XAO.5002.SM.HL11T,44.0278
ENSG00000143514.17,,GTEX.15CHC.0226.SM.5YYBB,18.3847
ENSG00000143514.17,,GTEX.15CHQ.1026.SM.GRR1B,26.4709
ENSG00000143514.17,,GTEX.15CHR.5005.SM.HL11N,39.7423
ENSG00000143514.17,,GTEX.15D1Q.0526.SM.6AJAY,24.5383
ENSG00000143514.17,,GTEX.15EOM.5010.SM.7P8PA,30.8761
ENSG00000143514.17,,GTEX.15ER7.0926.SM.7KUMG,53.0466
ENSG00000143514.17,,GTEX.15EU6.1226.SM.6AJBE,30.6893
ENSG00000143514.17,,GTEX.15FZZ.0326.SM.6M48O,31.2227
ENSG00000143514.17,,GTEX.15G19.0726.SM.HAUXU,40.4114
ENSG00000143514.17,,GTEX.15G1A.0426.SM.6M468,35.5902
ENSG00000143514.17,,GTEX.15RIE.0326.SM.6PAMC,36.2783
ENSG00000143514.17,,GTEX.15RIF.0426.SM.HAUZ8,29.2072
ENSG00000143514.17,,GTEX.15RJ7.0626.SM.6M47V,29.2923
ENSG00000143514.17,,GTEX.15RJE.1026.SM.6M46X,26.2528
ENSG00000143514.17,,GTEX.15SB6.0426.SM.6LPJ5,23.2041
ENSG00000143514.17,,GTEX.15SDE.0226.SM.H7OEW,32.0416
ENSG00000143514.17,,GTEX.15SHV.0326.SM.6M475,30.7326
ENSG00000143514.17,,GTEX.15SHW.0926.SM.6LPIO,25.1442
ENSG00000143514.17,,GTEX.15SKB.0826.SM.7KUFB,20.627
ENSG00000143514.17,,GTEX.15UKP.1926.SM.6LPI9,41.1081
ENSG00000143514.17,,GTEX.169BO.0226.SM.79OL1,24.2349
ENSG00000143514.17,,GTEX.16AAH.0426.SM.7DUFM,28.4695
ENSG00000143514.17,,GTEX.16GPK.1826.SM.G8W6F,22.2956
ENSG00000143514.17,,GTEX.16MT8.1026.SM.6LPK1,20.928
ENSG00000143514.17,,GTEX.16MTA.1226.SM.7KULL,19.7718
ENSG00000143514.17,,GTEX.16NFA.0826.SM.6LPJD,47.5212
ENSG00000143514.17,,GTEX.16NGA.0226.SM.718AI,47.5561
ENSG00000143514.17,,GTEX.16NPX.1126.SM.GPRXK,28.8677
ENSG00000143514.17,,GTEX.16XZZ.0926.SM.7DHLI,30.8014
ENSG00000143514.17,,GTEX.16YQH.1626.SM.GRR19,27.9429
ENSG00000143514.17,,GTEX.16Z82.1026.SM.6M48A,76.3783
ENSG00000143514.17,,GTEX.178AV.0326.SM.6LPJF,21.9153
ENSG00000143514.17,,GTEX.17EVP.0726.SM.7EWDX,38.6309
ENSG00000143514.17,,GTEX.17EVQ.1526.SM.79ONG,18.9691
ENSG00000143514.17,,GTEX.17F96.0626.SM.793CC,40.719
ENSG00000143514.17,,GTEX.17F98.0226.SM.793BV,35.5522
ENSG00000143514.17,,GTEX.17F9Y.1026.SM.7IGO4,34.3069
ENSG00000143514.17,,GTEX.17GQL.0726.SM.731BL,22.1324
ENSG00000143514.17,,GTEX.17HG3.0326.SM.7IGP4,18.233
ENSG00000143514.17,,GTEX.17HGU.0926.SM.79OKO,24.1975
ENSG00000143514.17,,GTEX.17HHE.0626.SM.7DHL6,46.4979
ENSG00000143514.17,,GTEX.17HII.0926.SM.79ON7,33.3976
ENSG00000143514.17,,GTEX.17JCI.1526.SM.7IGOQ,95.7054
ENSG00000143514.17,,GTEX.17KNJ.0926.SM.7IGP2,19.8494
ENSG00000143514.17,,GTEX.17MF6.0826.SM.7LT8F,33.0183
ENSG00000143514.17,,GTEX.183FY.0726.SM.793C3,26.5436
ENSG00000143514.17,,GTEX.18465.0626.SM.7LT8X,42.1094
ENSG00000143514.17,,GTEX.18A66.0926.SM.718BG,28.48
ENSG00000143514.17,,GTEX.18A67.1126.SM.7KFSB,35.5611
ENSG00000143514.17,,GTEX.18A6Q.0826.SM.7KFRD,31.5742
ENSG00000143514.17,,GTEX.18A7A.1026.SM.7LT8B,44.1608
ENSG00000143514.17,,GTEX.18D9A.0226.SM.7KFSJ,24.0621
ENSG00000143514.17,,GTEX.18D9B.1026.SM.CNPO5,15.6536
ENSG00000143514.17,,GTEX.18D9U.0526.SM.72D7C,47.8522
ENSG00000143514.17,,GTEX.18QFQ.0926.SM.7LG4V,25.8729
ENSG00000143514.17,,GTEX.1A32A.0726.SM.731D4,39.4602
ENSG00000143514.17,,GTEX.1A3MV.0526.SM.72D5A,42.2405
ENSG00000143514.17,,GTEX.1A8FM.0826.SM.793D5,83.4832
ENSG00000143514.17,,GTEX.1A8G6.0726.SM.73KV5,48.2642
ENSG00000143514.17,,GTEX.1AX8Z.5010.SM.AHZ33,26.1103
ENSG00000143514.17,,GTEX.1AX9I.0826.SM.73KUT,39.6451
ENSG00000143514.17,,GTEX.1AX9J.1626.SM.73KUI,57.5256
ENSG00000143514.17,,GTEX.1AX9K.5026.SM.HTQ7X,33.7381
ENSG00000143514.17,,GTEX.1AYCT.0726.SM.7IGNG,39.4325
ENSG00000143514.17,,GTEX.1AYD5.1226.SM.7EWEP,17.6169
ENSG00000143514.17,,GTEX.1B8KZ.0526.SM.73KW2,35.181
ENSG00000143514.17,,GTEX.1B8L1.0626.SM.7EPHL,54.5156
ENSG00000143514.17,,GTEX.1B8SF.0826.SM.73KW8,59.829
ENSG00000143514.17,,GTEX.1B8SG.1026.SM.H7OEY,27.2071
ENSG00000143514.17,,GTEX.1B932.0726.SM.731EY,32.963
ENSG00000143514.17,,GTEX.1B933.0926.SM.9OSVH,36.5366
ENSG00000143514.17,,GTEX.1B97I.0226.SM.73KVO,36.698
ENSG00000143514.17,,GTEX.1B996.0726.SM.7IGPI,73.3903
ENSG00000143514.17,,GTEX.1BAJH.1326.SM.7RHFS,48.6577
ENSG00000143514.17,,GTEX.1C4CL.0826.SM.7EWEZ,27.1141
ENSG00000143514.17,,GTEX.1C64O.1226.SM.79OOC,37.3471
ENSG00000143514.17,,GTEX.1C6VR.0626.SM.79OOY,63.3078
ENSG00000143514.17,,GTEX.1C6VS.1226.SM.79OO2,33.4303
ENSG00000143514.17,,GTEX.1C6WA.0726.SM.7IGQ5,45.2516
ENSG00000143514.17,,GTEX.1CAMQ.1026.SM.7EPIC,35.9575
ENSG00000143514.17,,GTEX.1CAV2.0626.SM.7P8QE,70.5389
ENSG00000143514.17,,GTEX.1CB4F.0926.SM.7DHMJ,34.9035
ENSG00000143514.17,,GTEX.1CB4I.2126.SM.793AG,36.2163
ENSG00000143514.17,,GTEX.1CB4J.1726.SM.79OOL,23.5132
ENSG00000143514.17,,GTEX.1E1VI.0926.SM.7P8T3,42.358
ENSG00000143514.17,,GTEX.1E2YA.0926.SM.7MXUK,69.1962
ENSG00000143514.17,,GTEX.1EKGG.1326.SM.7MXUM,64.6255
ENSG00000143514.17,,GTEX.1EMGI.1426.SM.7IGNQ,76.5947
ENSG00000143514.17,,GTEX.1EN7A.0826.SM.7MKFV,29.3865
ENSG00000143514.17,,GTEX.1EWIQ.0926.SM.7RHG7,99.1151
ENSG00000143514.17,,GTEX.1EX96.0226.SM.7RHHR,36.947
ENSG00000143514.17,,GTEX.1F48J.0826.SM.9WPOD,29.1915
